No.	Dist.	Id	Radius	Open	Close	Coordinates	Altitude
1 SS	0.000	POTLAU	1000m	13:00	20:00	39.34065, -122.68528	1040m
2	2.375	SNOWVL	1000m	13:00	20:00	39.37082, -122.6901	1361m
3	4.350	POTLAU	400m	13:00	20:00	39.34065, -122.68528	1040m
4	6.925	SNOWVL	400m	13:00	20:00	39.37082, -122.6901	1361m
5	9.588	POTLAU	400m	13:00	20:00	39.34065, -122.68528	1040m
6	11.105	POTLZ	400m	13:00	20:00	39.34963, -122.66208	518m
7	12.541	POTLAU	400m	13:00	20:00	39.34065, -122.68528	1040m
8	14.034	POTLZ	400m	13:00	20:00	39.34963, -122.66208	518m
9	17.371	SNOWLO	400m	13:00	20:00	39.37107, -122.69978	1600m
10	20.696	TOP	400m	13:00	20:00	39.3349, -122.69798	1073m
11	21.858	POTLZ	2000m	13:00	20:00	39.34963, -122.66208	518m
12 ES	23.459	POTLZ	400m	13:00	20:00	39.34963, -122.66208	518m
